unitid,year,gender,race,cohort,grad_cohort,grad_100,grad_150,grad_100_rate,grad_150_rate
243744,2013,M,Ai,"4y other",,,,,
243744,2013,F,Ai,"4y other",,,,,
243744,2013,B,A,"4y other",,,,,
243744,2013,M,A,"4y other",,,,,
243744,2013,F,A,"4y other",,,,,
243744,2013,B,X,"4y bach",1721,1309,1648,76.1,95.8
243744,2013,M,X,"4y bach",849,620,801,73.0,94.3
243744,2013,F,X,"4y bach",872,689,847,79.0,97.1
243744,2013,B,W,"4y bach",729,567,714,77.8,97.9
243744,2013,M,W,"4y bach",383,287,371,74.9,96.9
243744,2013,F,W,"4y bach",346,280,343,80.9,99.1
243744,2013,B,B,"4y bach",99,64,90,64.6,90.9
243744,2013,M,B,"4y bach",45,29,42,64.4,93.3
243744,2013,F,B,"4y bach",54,35,48,64.8,88.9
243744,2013,B,H,"4y bach",234,175,218,74.8,93.2
243744,2013,M,H,"4y bach",118,84,106,71.2,89.8
243744,2013,F,H,"4y bach",116,91,112,78.4,96.6
243744,2013,B,Ai,"4y bach",9,6,7,66.7,77.8
243744,2013,M,Ai,"4y bach",4,1,2,25.0,50.0
243744,2013,F,Ai,"4y bach",5,5,5,100.0,100.0
243744,2013,B,A,"4y bach",339,270,330,79.6,97.3
243744,2013,M,A,"4y bach",143,109,137,76.2,95.8
243744,2013,F,A,"4y bach",196,161,193,82.1,98.5
